Label,SiO2,TiO2,Ti,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,K,P,LOI,Total,,Li,Be,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Ag,Au
Zhang SH2016,0.5331421797866943,0.02131579208941384,0.021315578585268263,0.08485259878675387,0.0602583138925885,0.05100104806653516,0.0019686305203576093,0.08678718465504597,0.09901926765524169,0.02017132951743721,0.005082997380248296,0.0010775397963409127,0.010165951590575142,0.0021550492262142136,0.0,0.0,0.0,0.00014373078411110602,6.27201264527803e-06,5.532263212322354e-05,0.0004803901523080867,0.00014963496888232753,5.100308688087807e-05,7.862998785341757e-05,5.5986532414956675e-05,0.00010171220982268541,1.8503064841905705e-05,1.4316382862202133e-05,0.0002709461432686556,2.2214889940048145e-05,9.476593398304529e-05,9.01868170130965e-06,4.1529174834551707e-07,9.103741611649189e-05,5.45762271072275e-06,1.3383798327488811e-05,1.8641484713406168e-06,8.482895045757266e-06,2.2467223286307817e-06,7.83303957384041e-07,2.2159432761720562e-06,3.6822010867506733e-07,2.2834885583012935e-06,4.4351689019405285e-07,1.176847587483677e-06,1.732020595005059e-07,1.0298968861044944e-06,1.4822687895651045e-07,1.2592756826903603e-06,2.8297966763796967e-07,1.9522294583248377e-08,1.01739012364463e-06,1.140502661088557e-09,1.3842334604838146e-10
Zhang SH2016,0.5181905428588481,0.017348424836428726,0.017348251075471693,0.08105062866087924,0.049012856619999386,0.07808397243721998,0.0016493565159092162,0.08204651944273093,0.11134922789539299,0.02424278565148082,0.005033778889234565,0.001041196608734711,0.010067515027391807,0.002082363875632124,0.0,0.0,0.0,0.0001739124317092735,6.832883561618223e-06,5.917400985778888e-05,0.0004315493968514322,5.803090405157107e-05,4.566205833060722e-05,4.112735933043095e-05,3.178481236382621e-05,9.117262684309955e-05,1.9253711273619633e-05,1.5490661416382502e-05,0.00021435351878882087,2.5004083410876455e-05,0.00010598015925688983,8.947924342936098e-06,2.270321228856754e-07,7.667860520266581e-05,6.206442184141271e-06,1.53381055822611e-05,2.1107974199025774e-06,9.52022372131365e-06,2.3753614458502567e-06,7.982878812338358e-07,2.5414880346662026e-06,4.1847026656821106e-07,2.4783258667026122e-06,4.779070843464811e-07,1.3106735303899313e-06,1.8590307432516996e-07,1.106713889614042e-06,1.6541551280810573e-07,1.397253352686696e-06,2.85864228511316e-07,1.8981747033818693e-08,6.597771188387524e-07,1.29017622370375e-09,1.438133948955086e-10
Zhang SH2016,0.504456278630598,0.03063886962804891,0.030638562734762217,0.07394048811383397,0.0727769075907071,0.06963085349657908,0.0021615665708574774,0.07450409924629857,0.09707005678937054,0.02360612005813238,0.004951339480049474,0.0013503277473613815,0.009902636908847984,0.0027006174418134363,0.0,0.0,0.0,0.00022186461005012538,7.727285384888787e-06,5.556744704521167e-05,0.0006847804838919146,1.7202347878349241e-06,5.2362167096953046e-05,1.8287337258037906e-05,4.403686083721539e-05,0.00012215058675073132,2.052590968300125e-05,1.420304740484659e-05,0.0001596876488679348,2.7307614775091208e-05,0.00012116228427474932,1.1209147221809127e-05,5.335936379329083e-07,5.396752696640784e-05,7.497193445109618e-06,1.7418313101678006e-05,2.3804286097295076e-06,1.0718995563270618e-05,2.7491752429159557e-06,9.795929821751127e-07,2.848116990064601e-06,4.663320594049904e-07,2.7010575180460563e-06,5.423229314568369e-07,1.470624152615373e-06,2.1178775987894816e-07,1.2294634969942e-06,1.8257647420568502e-07,1.6000151478325852e-06,3.4602146229190665e-07,3.0322415895527656e-08,8.078709670972421e-07,1.397812860788276e-09,1.6867133581909174e-10
Zhang SH2016,0.5326606261876439,0.034487566727569016,0.034487221295292914,0.07599683205802138,0.06797429629417034,0.04957645905613405,0.0019276353853720327,0.056545568739286775,0.08070096264143989,0.02721053714736829,0.00953953381931135,0.0026148152824438577,0.01907898661626237,0.0052295568789299555,0.0,0.0,0.0,0.0002251803312442863,1.3149827740222802e-05,4.721820884108668e-05,0.0005419669584279575,9.805498421901486e-06,4.342214303441418e-05,2.3630288162150604e-05,3.278992643303741e-05,0.00019620044691965135,2.110624893846533e-05,3.5045639481782395e-05,0.00024969779712046166,3.6839724847948656e-05,0.00018629880897389278,1.9974598134304183e-05,7.495960969361679e-07,0.00019013721234503958,1.5235008297414048e-05,3.174034590697891e-05,4.2745048318129515e-06,1.8327911557404418e-05,4.261293658702395e-06,1.3797291426066418e-06,4.223652699554991e-06,6.432579439475552e-07,3.79468120358224e-06,7.18537671805708e-07,1.9348423077412063e-06,2.698106520358295e-07,1.6443757524320419e-06,2.3445720470642346e-07,2.3931429007133625e-06,6.081516477359245e-07,7.009111494596997e-08,4.431064216050995e-06,3.3502578526912835e-09,4.066223761825872e-10
Zhang SH2016,0.5181211944649932,0.032943116732386764,0.03294278676491701,0.07747642594242846,0.07090779542853075,0.0809279779013549,0.001739989677232058,0.06157173204705045,0.06927596277620815,0.031863861823425675,0.004896591674987331,0.001922219261852722,0.009793141764351613,0.003844384355446981,0.0,0.0,0.0,0.0002087428220644506,9.587111807054764e-06,4.696374758005672e-05,0.0005177504233504444,5.284887598967666e-05,4.453357332971756e-05,4.0177555979564394e-05,2.6682004118496834e-05,0.0001083048087132379,2.0404887626936535e-05,2.1662495868623557e-05,0.0003202924163837259,3.3465810407929856e-05,0.00015880417270973504,1.6362005093858058e-05,6.012131522700833e-07,7.61616073936101e-05,1.0335680679602406e-05,2.267186706182217e-05,3.181124349259943e-06,1.3916592220620134e-05,3.3224632104559927e-06,1.1670463063996552e-06,3.4784646591919e-06,5.640947630107359e-07,3.3660834932795463e-06,6.499045451304319e-07,1.7905134488628654e-06,2.499550316737784e-07,1.4866279328063158e-06,2.1534683960538032e-07,2.096402900146941e-06,4.7389987037974497e-07,4.13210278020208e-08,4.640215198998357e-07,2.1861469498248464e-09,2.5725761600214536e-10
Zhang SH2016,0.6452474887594953,0.01923261903990251,0.01923242640484727,0.0856683093479117,0.06338721440232184,0.021182789330716423,0.0013969798434335975,0.022128785867081675,0.036858127754519375,0.029351275793268353,0.014352843246670893,0.003939578504154073,0.028705564595228106,0.007879045988564181,0.0,0.0,0.0,0.0001754301229597684,2.010690147945802e-05,2.88137316577572e-05,6.377877125853024e-05,7.623465653828821e-07,2.0298405155540317e-05,6.150580390955216e-07,7.897564983310222e-06,0.00014940645507216256,2.5380439284424023e-05,5.143091684445013e-05,0.0001599547468199605,5.206940920061243e-05,0.0003289969990917425,2.3999392764641965e-05,1.0012677864470791e-06,0.00019432139020641735,2.1351572527345058e-05,4.4557010613406164e-05,6.178822224200765e-06,2.630317930617026e-05,5.884544986126285e-06,1.7607036908482135e-06,5.896792324015374e-06,9.353223443028017e-07,5.488483603611444e-06,1.0600628543028814e-06,2.7804242328980276e-06,3.896731739613072e-07,2.3765790723578436e-06,3.438733092206548e-07,4.203655981447856e-06,6.571900413805048e-07,8.658383248008104e-08,2.4255140182274247e-06,6.503024857794402e-09,7.115539955597713e-10
Zhang SH2016,0.5338722759302803,0.029257196944939723,0.02925690390099425,0.07400174569629991,0.06708880453328445,0.0910836330368204,0.002130852832291491,0.051099294493954346,0.07053264551753369,0.02794516408036559,0.00561647681979043,0.0018635972823097052,0.011232905939889843,0.0037271420483319805,0.0,0.0,0.0,0.0001833188822442411,1.0273126351271535e-05,5.0154690459519645e-05,0.00031403444706946265,6.419783775012825e-07,4.039681469950757e-05,8.155294068594698e-07,5.778240818593441e-06,0.000131974781748271,2.186022371352366e-05,1.562243179976292e-05,0.00014304251228427413,3.726239421301397e-05,0.00017674460068611898,1.782894142737008e-05,5.307506412759017e-07,6.329048959419998e-05,1.124469380693544e-05,2.5711274182838287e-05,3.477445207519521e-06,1.5457057698495204e-05,3.882958229136066e-06,1.2640796049871672e-06,4.005204057281032e-06,6.301141746309403e-07,3.852550326027062e-06,7.446451838873494e-07,1.9957294922482163e-06,2.9079857452551936e-07,1.6960637147069727e-06,2.483754936508727e-07,2.346513500896123e-06,5.186185788035146e-07,2.6501799133300725e-08,3.9515629315138744e-07,2.084443299032123e-09,2.4301684256157e-10
Zhang SH2016,0.503308117723057,0.024288532299049603,0.024288289022144596,0.07377456033339472,0.05632039565766633,0.09310419856353501,0.0017144467222868795,0.08102018316112214,0.09271466385613954,0.027962153383290615,0.005229034258784982,0.0013708960968223717,0.010458024108523053,0.0027417535618943674,0.0,0.0,0.0,0.00016472725593666993,9.243951231255644e-06,4.314902575349154e-05,0.0004058581517558067,6.128124808307599e-05,5.014681737020464e-05,5.118052846811818e-05,0.0001435390692268437,0.0002157794857547314,1.6134768854098523e-05,1.1241432239260976e-05,0.0001977919883230897,2.3391760114119552e-05,0.00014331657926380025,1.85883111411864e-05,2.836716781900574e-07,8.236147137438648e-05,1.0637853630101247e-05,2.3912828727112034e-05,3.085592172234707e-06,1.302668252503665e-05,2.879484610037854e-06,8.323187983831761e-07,2.695313019219095e-06,4.2471430346926196e-07,2.4847448501378885e-06,4.682419051415242e-07,1.2106589659544541e-06,1.6917933444752774e-07,1.0015044651315623e-06,1.424935783690199e-07,1.8533271813697957e-06,5.544948668311511e-07,2.14220577976452e-08,1.3323955909467216e-06,2.2041970194476864e-09,2.809415392284498e-10
Zhang SH2016,0.48847282337941794,0.03270440650361202,0.03270407892739616,0.08290905119479051,0.06808538182105296,0.044862550102771175,0.0019045086183629004,0.07933137346005664,0.10921666509531301,0.025534685331505907,0.009356785746795977,0.0013143838344257157,0.018713492019554894,0.002628730628444091,0.0,0.0,0.0,0.00014368418284049805,6.781571317303998e-06,6.28223938446148e-05,0.0008739188365754584,2.239466340040803e-05,5.752907229674997e-05,5.327012744871412e-05,0.0002257633180612993,0.0001387429521474861,2.122210726501626e-05,3.5829534213761605e-05,0.0002635893956894414,2.1925478168135147e-05,0.00010578373145787783,1.6134189884673738e-05,9.390650297551617e-07,0.00015272087444010205,9.35553775739101e-06,2.03400834427734e-05,2.5978519561127963e-06,1.097185618222297e-05,2.5029967386407582e-06,9.017281374726316e-07,2.4137822659980644e-06,3.9265876148594484e-07,2.268495861705931e-06,4.2907073268916207e-07,1.1577471867672484e-06,1.6375235682309883e-07,9.889158009090418e-07,1.433988580012606e-07,1.3588270863650884e-06,4.657517883143152e-07,5.351151678726837e-08,1.524503675415091e-06,1.2286000349894722e-09,1.4371327661348521e-10
Zhang SH2016,0.5162195493350177,0.013075945785910977,0.013075814813042602,0.09205308673510146,0.046513853929806656,0.043970811631174965,0.0014721651076858799,0.10866357638799568,0.12291043934707185,0.02337874896385899,0.004919685680887454,0.0006437617024081931,0.009839329580019797,0.0012875052632905697,0.0,0.0,0.0,0.0002558109073956809,3.114211280716665e-06,5.7928961982388406e-05,0.00037028467524688176,0.00030001070757690887,5.437899006926427e-05,0.00011231602640732367,8.01154006496857e-05,7.207786365846447e-05,1.5726889702126542e-05,2.96304894324537e-05,0.00036128348903148057,1.5343541811347966e-05,5.051323867591016e-05,4.144919920541712e-06,5.991377148402365e-07,0.00016682487510527553,3.3079804595483758e-06,7.68609659503749e-06,1.1348569095577653e-06,5.113241824142377e-06,1.3456713352930124e-06,5.712425498617549e-07,1.4942438301631193e-06,2.423083943236361e-07,1.4700677312699672e-06,3.007618094507514e-07,7.999705325622049e-07,1.1977155485410672e-07,7.015578906341958e-07,1.0072046909462988e-07,6.984399978522255e-07,1.33462067837904e-07,3.832238025461566e-08,3.6225777380566686e-07,3.8725422698878077e-10,4.9705948300028195e-11
